id,name,description,language
1,Apple,A sweet red or green fruit,English
2,りんご,甘い赤や緑の果物,Japanese
3,苹果,一种甜的红色或绿色水果,Chinese
4,Epal,Buah merah atau hijau yang manis,Bahasa
5,تفاحة,فاكهة حلوة حمراء أو خضراء,Arabic
6,แอปเปิล,ผลไม้หวานสีแดงหรือสีเขียว,Thai
7,Laptop,A portable personal computer,English
8,ノートパソコン,持ち運び可能なパソコン,Japanese
9,笔记本电脑,便携式个人电脑,Chinese
10,Komputer riba,Komputer peribadi yang mudah alih,Bahasa
11,حاسوب محمول,حاسوب شخصي محمول,Arabic
12,แล็ปท็อป,คอมพิวเตอร์ส่วนตัวแบบพกพา,Thai
13,Banana,A long yellow tropical fruit,English
14,バナナ,長くて黄色い熱帯の果物,Japanese
15,香蕉,一种长而黄的热带水果,Chinese
16,Pisang,Buah tropika panjang berwarna kuning,Bahasa
17,موز,فاكهة استوائية طويلة صفراء,Arabic
18,กล้วย,ผลไม้เขตร้อนยาวสีเหลือง,Thai
19,Smartphone,A mobile phone with advanced features,English
20,スマートフォン,高度な機能を持つ携帯電話,Japanese
21,智能手机,具有高级功能的移动电话,Chinese
22,Telefon pintar,Telefon bimbit dengan ciri-ciri canggih,Bahasa
23,هاتف ذكي,هاتف محمول بميزات متقدمة,Arabic
24,สมาร์ทโฟน,โทรศัพท์มือถือที่มีฟีเจอร์ขั้นสูง,Thai
25,Car,A four-wheeled motor vehicle,English
26,車,四輪の自動車,Japanese
27,汽车,一种四轮机动车辆,Chinese
28,Kereta,Kenderaan bermotor empat roda,Bahasa
29,سيارة,مركبة ذات أربعة عجلات,Arabic
30,รถยนต์,ยานพาหนะสี่ล้อ,Thai
31,Television,An electronic device for watching videos,English
32,テレビ,映像を見るための電子機器,Japanese
33,电视,用于观看视频的电子设备,Chinese
34,Televisyen,Peranti elektronik untuk menonton video,Bahasa
35,تلفزيون,جهاز إلكتروني لمشاهدة مقاطع الفيديو,Arabic
36,โทรทัศน์,อุปกรณ์อิเล็กทรอนิกส์สำหรับดูวิดีโอ,Thai
37,Book,A written or printed work of pages,English
38,本,ページで構成された書かれた作品,Japanese
39,书,由页面组成的书面作品,Chinese
40,Buku,Karya bertulis atau bercetak,Bahasa
41,كتاب,عمل مكتوب أو مطبوع من صفحات,Arabic
42,หนังสือ,ผลงานที่เขียนหรือพิมพ์ด้วยหน้ากระดาษ,Thai
43,Chair,A seat with a back for one person,English
44,椅子,背もたれのある一人用の座席,Japanese
45,椅子,有靠背的单人座椅,Chinese
46,Kerusi,Tempat duduk dengan sandaran untuk seorang,Bahasa
47,كرسي,مقعد بظهر لشخص واحد,Arabic
48,เก้าอี้,ที่นั่งที่มีพนักพิงสำหรับหนึ่งคน,Thai
49,Apple iPhone,Premium smartphone by Apple Inc,English
50,アップル アイフォン,アップル社のプレミアムスマートフォン,Japanese
